song_id,genre
TRAAAED128E0783FAB,Jazz
TRAAAEF128F4273421,Rock
TRAAAGF12903CEC202,Pop
TRAAAHZ128E0799171,Rap
TRAAARJ128F9320760,Rock
TRAABJS128F9325C99,Rock
TRAABLR128F423B7E3,Rock
TRAABVM128F92CA9DC,Rock
TRAACER128F4290F96,Metal
TRAACIE128F428495B,Rock
TRAACPH12903CF5F14,Rock
TRAACZN128F93236B1,Rap
TRAADFO128F92E1E91,Reggae
TRAADLH12903CA70EE,Rock
TRAADNA128F9331246,Blues
TRAADQL128F427D281,Rock
TRAADSV128F42BC36A,Rock
TRAADVO128E07999E9,Jazz
TRAADYB128F92D7E73,Jazz
TRAAEDY12903CBBFA7,Rap
TRAAEHW128F9344FD3,Punk
TRAAEJQ128F92C484E,RnB
TRAAEJV128F423CF04,Pop
TRAAENC128F1451DE9,Rock
TRAAENM128EF33EDAA,Pop
TRAAEPG128F429139A,Rock
TRAAERZ128F1496921,Reggae
TRAAFEU128E078581C,Rock
TRAAFGQ128F427D884,Rock
TRAAFOH128E078BD7E,Metal
TRAAGAM128F428DCBE,Punk
TRAAGEC128E079252C,Electronic
TRAAGIJ128F933430E,Punk
TRAAGJV128F1464090,Pop
TRAAGMC128F4292D0F,Country
TRAAGNS128E07824BD,Rock
TRAAGOZ128F92EB3D4,Pop
TRAAGPF12903CE027E,Country
TRAAGPJ128F428CD1B,Rock
TRAAHBU12903CB9E27,Metal
TRAAHDK128F423BB26,Rock
TRAAHEG128E07861C3,Rap
TRAAHFR12903CA2491,Rock
TRAAHSY128F147BB5C,Rock
TRAAHYI12903CD4ED2,Rock
TRAAIAE128F42AC53D,Country
TRAAIHL128F92E6DDA,RnB
TRAAIKA128F426D3BB,Rock
TRAAIMO128F92EB778,Rock
TRAAIQG128F425204F,Rock
TRAAIUJ128F42930A6,Rock
TRAAJJG128F4284B27,Rock
TRAAJJW128F4298683,Folk
TRAAJJW12903CBDDCB,Reggae
TRAAJOA128F145FB71,Rock
TRAAJXX128F4239802,Metal
TRAAJYK128F9334E51,Rock
TRAAJYX128F4255568,Reggae
TRAAKAS128F4246013,Rock
TRAAKBQ12903CACE08,Rock
TRAAKHQ128F4289A3F,Electronic
TRAAKMD128F1497E6C,Rock
TRAAKMS12903CDCF78,Metal
TRAAKRN128F92FF8D0,Electronic
TRAAKZS128F426AEAF,RnB
